0.000,0.000
0.100,-0.459
0.200,-0.801
0.300,0.169
0.400,-0.417
0.500,-0.371
0.600,0.804
0.700,-0.169
0.800,-0.766
0.900,-0.751
1.000,-0.894
1.100,-1.006
1.200,-1.677
1.300,-1.703
1.400,-2.041
1.500,-1.077
1.600,-2.260
1.700,-2.957
1.800,-1.940
1.900,-3.202
2.000,-3.294
2.100,-4.704
2.200,-4.594
2.300,-5.447
2.400,-5.123
2.500,-5.425
2.600,-5.265
2.700,-6.251
2.800,-6.884
2.900,-7.737
3.000,-7.978
3.100,-9.213
3.200,-8.619
3.300,-10.173
3.400,-9.759
3.500,-11.168
3.600,-11.210
3.700,-11.547
3.800,-13.046
3.900,-13.851
4.000,-14.487
4.100,-15.305
4.200,-15.751
4.300,-17.137
4.400,-18.282
4.500,-17.881
4.600,-18.689
4.700,-19.682
4.800,-20.403
4.900,-21.749
5.000,-22.044
