0.000,0.000
0.100,0.334
0.200,-0.765
0.300,1.139
0.400,-0.424
0.500,-0.653
0.600,0.703
0.700,0.023
0.800,-0.229
0.900,-0.167
1.000,-1.145
1.100,-0.590
1.200,-1.179
1.300,-1.993
1.400,-1.221
1.500,-2.542
1.600,-2.219
1.700,-2.093
1.800,-3.693
1.900,-2.882
2.000,-4.067
2.100,-5.076
2.200,-4.374
2.300,-4.689
2.400,-5.355
2.500,-4.947
2.600,-6.564
2.700,-6.434
2.800,-6.812
2.900,-7.136
3.000,-8.004
3.100,-8.032
3.200,-8.520
3.300,-8.944
3.400,-10.975
3.500,-11.944
3.600,-11.434
3.700,-12.966
3.800,-13.323
3.900,-13.658
4.000,-14.465
4.100,-15.648
4.200,-16.176
4.300,-16.816
4.400,-18.168
4.500,-18.288
4.600,-18.271
4.700,-20.772
4.800,-20.545
4.900,-21.889
5.000,-22.837
